original,modernisé,commentaire
évanouissemens,évanouissements,
maudissois,maudissais,
entrevoyois,entrevoyais,
myrthe,myrte,
naitre,naître,
garotté,garrotté,
fîsse,fisse,
jete,jette,
chorassan,chorassan,
dervis,derviche,
raccommodemens,raccommodements,
austeres,austères,
dégout,dégoût,
mêt,met,
propôser,proposer,
crüelles,cruelles,
planette,planète,
mandier,mendier,
éblouissans,éblouissants,
infléxible,inflexible,
dumoins,du moins,
etois,étais,
éxigé,exigé,
tabatiere,tabatière,
visiere,visière,
crüels,cruels,
ceque,ce que,
étendüe,étendue,
propôse,propose,
facon,façon,
tempéroit,tempérait,
promenent,promènent,
lâsse,lasse,
pleuvoit,pleuvait,
désoeuvré,désœuvré,
recueillois,recueillais,
brossailles,broussailles,
saluoit,saluait,
figurois,figurais,
cetui,celui,
attribüer,attribuer,
impudens,impudents,
caur,cœur,
indiscrétement,indiscrètement,
prierois,prierais,
pardonnois,pardonnais,
implorois,implorais,
toîts,toits,
awgane,afghane,
plue,plu,
desespéré,désespéré,
crüellement,cruellement,
soûmettre,soumettre,
péristile,péristyle,
viceroi,vice-roi,
bleux,bleus,
georgiens,géorgiens,
appercus,aperçus,
désespérois,désespérais,
montrerent,montrèrent,
courroit,courrait,
pûssiez,puissiez,
rompoit,rompait,
paroîs,parais,
pensers,pensées,
bienfaictrice,bienfaitrice,
ôtages,hôtages,
existance,existence,
succomberoit,succomberait,
tendois,tendais,
prîsse,prisse,
paleur,pâleur,
réüssir,réussir,
recus,reçus,
devenüe,devenue,
coëffer,coiffer,
transubstantiation,transsubstantiation,
outrageans,outrageants,
celleci,celle-ci,
asséz,assez,
taisois,taisais,
abime,abîme,
condamnois,condamnais,
fites,fîtes,
séches,sèches,
réglement,règlement,
essuye,essuie,
comparois,comparais,
ceintre,cintre,
joûtes,joutes,
epître,épître,
desirerais,désirerais,
suppôsition,supposition,
foudroyans,foudroyants,
réveillerent,réveillèrent,
equipages,équipages,
consolâtion,consolation,
assidument,assidûment,
entre'ouvre,entrouvre,
modérâtion,modération,
paroissions,paraissions,
écriaije,écriai-je,
poussois,poussais,
ôtage,hôtage,
succomberois,succomberais,
desoeuvrement,désœuvrement,
empresserent,empressèrent,
nait,naît,
hopital,hôpital,
ments,mens,
paroîtrai,paraîtrai,
réglements,règlements,
considérâtions,considérations,
défendois,défendais,
propôsition,proposition,
chargerois,chargerais,
gréce,grèce,
egaré,égaré,
témoignerent,témoignèrent,
frontiére,frontière,
suppôsez,supposez,
disparution,disparition,
vasy,vas-y,
chancèle,chancelle,
balancerois,balancerais,
soulevent,soulèvent,
emblêmes,emblèmes,
vanier,vannier,
dûrent,durent,
défendroit,défendrait,
régistre,registre,
réveillois,réveillais,
forté,forte,
arracheroit,arracherait,
renait,renaît,
tueroit,tuerait,
rameneroit,ramènerait,
déjeûnons,déjeunons,
tû,tu,
dissentions,dissensions,
renouvellant,renouvelant,
impétüosité,impétuosité,
scêne,scène,
fraiche,fraîche,
promettrois,promettrais,
réflechir,réfléchir,
justifieroit,justifierait,
vousmême,vous-même,
punirois,punirais,
exposois,exposais,
consolois,consolais,
refuserent,refusèrent,
embrâsement,embrasement,
précipiterent,précipitèrent,
renouvellées,renouvelées,
coeffure,coiffure,
reconnoissants,reconnaissants,
indignâtion,indignation,
continüer,continuer,
venés,venez,
dinâmes,dînâmes,
persiffler,persifler,
eües,eues,
hésiterois,hésiterais,
coëffé,coiffé,
paraitre,paraître,
meurtrieres,meurtrières,
nourrissois,nourrissais,
feroces,féroces,
sujettion,sujétion,
termineroit,terminerait,
eûssions,eussions,
desespérer,désespérer,
aprèsmidi,après-midi,
appelois,appelais,
voiant,voyant,
héroiques,héroïques,
quenous,que nous,
elève,élève,
pélérinage,pélerinage,
appétissans,appétissants,
nousmêmes,nous-mêmes,
avés,avez,
résistois,résistais,
seches,sèches,
reconnoîtrai,reconnaîtrai,
aigüe,aiguë,
desespérée,désespérée,
odoriférans,odoriférants,
toujour,toujours,
pourais,pourrais,
sourioient,souriaient,
répentir,repentir,
devous,de vous,
connaissois,connaissais,
coëffes,coiffes,
sauvois,sauvais,
frappois,frappais,
desiraient,désiraient,
étiés,étiez,
aidois,aidais,
sçeau,sceau,
offrois,offrais,
attribuois,attribuais,
savourois,savourais,
fripponne,friponne,
prouverent,prouvèrent,
facheux,fâcheux,
saisissois,saisissais,
peindrois,peindrais,
entrainée,entraînée,
épitre,épître,
ecartons,écartons,
voiait,voyait,
labirinthe,labyrinthe,
persistois,persistais,
luttoit,luttait,
déjeûne,déjeune,
occâsions,occasions,
ainée,aînée,
treteaux,tréteaux,
règner,régner,
joyé,joie,
jouvencel,jouvenceau,
esclâves,esclaves,
fuirois,fuirais,
goîtres,goitres,
cannot,canot,
blâmerois,blâmerais,
renvaient,renvoient,
serremens,serrements,
héroique,héroïque,
cultivois,cultivais,
barages,barrages,
simbole,symbole,
boccage,bocage,
repondre,répondre,
suivroient,suivraient,
licentieuse,licencieuse,
gaïté,gaieté,
rapprochois,rapprochais,
entrelassées,entrelacées,
traine,traîne,
vertüeux,vertueux,
quiens,tiens,
craignés,craignez,
elevée,élevée,
deshonorent,déshonorent,
obstinâtion,obstination,
remene,ramène,
conversâtion,conversation,
soimême,soi-même,
mêlerent,mêlèrent,
recolte,récolte,
naiveté,naïveté,
invoquois,invoquais,
pesent,pèsent,
crierent,crièrent,
antropophage,anthropophage,
volerent,volèrent,
tuilleries,tuileries,
conseillere,conseillère,
dailleurs,d'ailleurs,
confierois,confierais,
sangfroid,sang-froid,
passagére,passagère,
européans,européens,
nourice,nourrice,
spheres,sphères,
renvoyerent,renvoyèrent,
appartenante,appartenant,
votres,vôtres,
disoitelle,disoit-elle,
voulûssiez,voulussiez,
régistres,registres,
satisfaisans,satisfaisants,
poursuivois,poursuivais,
vigilans,vigilants,
administrâtion,administration,
enleverait,enlèverait,
entre'ouvrir,entrouvrir,
obtiendrois,obtiendrais,
entrainer,entraîner,
fûrent,furent,
disoitil,disoit-il,
hâterent,hâtèrent,
conversois,conversais,
rencontrerois,rencontrerais,
géolier,geôlier,
pouvés,pouvez,
brulant,brûlant,
nieces,nièces,
bienfaicteur,bienfaiteur,
surlechamp,sur-le-champ,
appaisés,apaisés,
répetent,répètent,
javois,j'avais,
portieres,portieres,
opposerois,opposerais,
œconome,économe,
dispôsé,disposé,
héroisme,héroïsme,
suffoquois,suffoquais,
quelquechose,quelque chose,
répart,repart,
payois,payais,
projetter,projeter,
éloignois,éloignais,
nayades,naïades,
pése,pèse,
barriéres,barrières,
sacrifiois,sacrifiais,
réjouissois,réjouissais,
serés,serez,
ramenerai,ramènerai,
convalescens,convalescents,
dûes,dues,
immensement,immensément,
tiede,tiède,
demadame,de madame,
laissezmoi,laissez-moi,
dussai,dussé,
lorgnoit,lorgnait,
romproit,romprait,
louerois,louerais,
végete,végète,
suisje,suis-je,
crais,crois,
élancerent,élancèrent,
élevois,élevais,
desirât,désirât,
agraffe,agrafe,
relisoit,relisait,
actüel,actuel,
temoin,témoin,
entre'ouvrit,entrouvrit,
garotter,garrotter,
voions,voyons,
lassaientl,lassaient,
réüssi,réussi,
réfroidissement,refroidissement,
décélent,décèlent,
desirés,désirés,
glaciere,glacière,
interrogeois,interrogeais,
ajoutat,ajouta-t,
laissat,laissa,
renverroit,renverrait,
abé,abbé,
evolutions,évolutions,
brévet,brevet,
démêlois,démêlais,
pâssion,passion,
intolérans,intolérants,
blâmois,blâmais,
appaisent,apaisent,
expiroient,expiraient,
serpentoit,serpentait,
brulante,brûlante,
caressois,caressais,
ditesvous,dites-vous,
flateuses,flatteuses,
rüine,ruine,
étudiois,étudiais,
nourriroit,nourrirait,
effrenée,effrénée,
dédaignoient,dédaignaient,
décelent,décèlent,
mercénaires,mercenaires,
phrâses,phrases,
lyonnois,lyonnais,
menerait,mènerait,
continüité,continuité,
dessinoient,dessinaient,
continuerent,continuèrent,
bruler,brûler,
enchantoient,enchantaient,
ameneroit,amènerait,
intégre,intègre,
envoyent,envoient,
ajoutatelle,ajouta-t-elle,
serrails,sérails,
grapes,grappes,
cavaliérement,cavalièrement,
etourdie,étourdie,
épouserois,épouserais,
refrein,refrain,
réprimoit,réprimait,
relevera,relèvera,
mêlanges,mélanges,
intervale,intervalle,
citroniers,citronniers,
presbytere,presbytère,
dissipoient,dissipaient,
entraine,entraîne,
financiere,financière,
méditoient,méditaient,
bourade,bourrade,
réveler,révéler,
paroissait,paraissait,
ensévelie,ensevelie,
éxagérer,exagérer,
exagéroit,exagérait,
dépensoit,dépensait,
rappèle,rappelle,
dabord,d'abord,
conclûre,conclure,
clavessin,clavecin,
plattes,plates,
enchaînoient,enchaînaient,
pétillans,pétillants,
luisoit,luisait,
préferes,préfères,
accâbler,accabler,
connoîtriez,connaîtriez,
secondoient,secondaient,
prêteroit,prêterait,
devés,devez,
dûssiez,dussiez,
volois,volais,
prémières,premières,
sçachons,sachons,
retombois,retombais,
persiffle,persifle,
sanglottoit,sanglottait,
déïstes,déistes,
rirois,rirais,
désespérans,désespérants,
grandpere,grand père,
verserois,verserais,
tourmentante,tourmentant,
surprenoient,surprenaient,
surmontoit,surmontait,
éxigent,exigent,
zèlé,zélé,
succombois,succombais,
confiois,confiais,
prodiguois,prodiguais,
ceue,cette,
reveilla,réveilla,
banderolles,banderoles,
ôserois,oserais,
vénérâtion,vénération,
refléxions,réflexions,
enlèvemens,enlèvements,
delire,délire,
brule,brûle,
chancele,chancèle,
braverois,braverais,
défaillans,défaillants,
scavoit,savait,
imans,imams,
assûrement,assurément,
surprendroit,surprendrait,
souffrés,souffrez,
suivés,suivez,
attrayans,attrayants,
compôsent,composent,
prophéte,prophète,
apprimes,apprîmes,
faquir,fakir,
echelle,échelle,
défendrois,défendrais,
revoye,revoie,
détailloit,détaillait,
éxacte,exacte,
aërienne,aérienne,
décidois,décidais,
questionnois,questionnais,
epîtres,épîtres,
rafinés,raffinés,
entendimes,entendîmes,
quelquesunes,quelques-unes,
naives,naïves,
mignature,miniature,
disoisje,disais-je,
répétent,répètent,
boîteux,boiteux,
emissaires,émissaires,
eûs,eus,
gason,gazon,
bouleversoient,bouleversaient,
réponditil,répondit-il,
quadre,cadre,
eminence,éminence,
pourait,pourrait,
tardois,tardais,
espèrer,espérer,
connoîtraient,connaîtraient,
téte,tête,
ôseroit,oserait,
tyrannisoient,tyrannisaient,
derniérement,dernièrement,
croiez,croyez,
epuisée,épuisée,
sépulchre,sépulcre,
oppôser,opposer,
aport,apport,
indiscrettes,indiscrètes,
révolteroit,révolterait,
soporatif,soporifique,
secondois,secondais,
desirerez,désirerez,
calmerent,calmèrent,
viperes,vipères,
chancellans,chancellants,
mysanthropie,misanthropie,
échapés,échappés,
rendés,rendez,
jugedepaix,juge de paix,
différois,différais,
avidemment,avidement,
entourerent,entourèrent,
pleureroit,pleurerait,
conquèrans,conquérants,
connoissait,connaissait,
racommodement,raccommodement,
réservois,réservais,
asséyez,asseyez,
applanissent,aplanissent,
renvoyois,renvoyais,
insultoit,insultait,
toutàfait,tout à fait,
colée,collée,
etourdi,étourdi,
accablerent,accablèrent,
arrosois,arrosais,
athmosphere,atmosphère,
stoique,stoïque,
flétrissans,flétrissants,
sà,sa,
frapperoit,frapperait,
modéroit,modérait,
asséyant,asseyant,
abbattue,abattue,
renes,rênes,
ecoutons,écoutons,
evêques,évêques,
fournissois,fournissais,
abandonnerois,abandonnerais,
prospere,prospère,
diminueroit,diminuerait,
retraçois,retraçais,
reconnoissables,reconnaissables,
désesperer,désespérer,
cinisme,cynisme,
risquerois,risquerais,
concevrois,concevrais,
reçûs,reçus,
pénétrois,pénétrais,
expirerent,expirèrent,
aggrégé,agrégé,
tourmentois,tourmentais,
héraults,hérauts,
epigrammes,épigrammes,
abbattu,abattu,
frippier,fripier,
douterent,doutèrent,
piquure,piqûre,
quadrupede,quadrupède,
coutât,coûtât,
suprise,surprise,
chèz,chez,
garcons,garçons,
ambitionnois,ambitionnais,
derobe,dérobe,
redoublois,redoublais,
frémissoient,frémissaient,
ressère,resserre,
coutera,coûtera,
connoisses,connaisses,
intégres,intègres,
colines,collines,
blamable,blâmable,
pésanteur,pesanteur,
chargeois,chargeais,
glissoient,glissaient,
flatée,flattée,
déréglements,dérèglements,
deshonnorer,déshonorer,
entre'ouvrent,entrouvrent,
dérèglemens,dérèglements,
vomissemens,vomissements,
bellesœur,belle-sœur,
cadenats,cadenas,
sçene,scène,
nageois,nageais,
redevenoient,redevenaient,
persannes,persanes,
monnoyeurs,monnayeurs,
silentieux,silencieux,
prénoit,prenait,
aggrandir,agrandir,
eskimaux,eskimos,
substanter,sustenter,
chérissoient,chérissaient,
parvinmes,parvînmes,
danserent,dansèrent,
recu,reçu,
saluerent,saluèrent,
passionément,passionnément,
abrége,abrège,
intriguante,intrigante,
attribuerent,attribuèrent,
filoit,filait,
interessante,intéressante,
inéxorable,inexorable,
joûte,joute,
jouïssances,jouissances,
gentilhommes,gentilshommes,
frissonnois,frissonnais,
deloyal,déloyal,
disje,dis-je,
concus,conçus,
audevant,au-devant,
décachète,décachette,
confluente,confluent,
débarassé,débarrassé,
autentique,authentique,
enleverez,enlèverez,
corrigeroit,corrigerait,
sauveroit,sauverait,
mocqua,moqua,
projetta,projeta,
calmoient,calmaient,
propôsé,proposé,
dévouoit,dévouait,
convenois,convenais,
sandal,santal,
marchames,marchâmes,
remené,ramené,
plusque,plus que,
éxact,exact,
étoufferent,étouffèrent,
refléxion,réflexion,
flatterent,flattèrent,
possedes,possèdes,
sanglotte,sanglote,
desirera,désirera,
goûterent,goûtèrent,
disparoitre,disparaître,
épics,épis,
hazardait,hasardait,
pardonnezmoi,pardonnez-moi,
dîs,dis,
epreuves,épreuves,
dédomager,dédommager,
ménaces,menaces,
adorerois,adorerais,
jusqueslà,jusque là,
aureste,au reste,
traverserent,traversèrent,
visigoths,wisigoths,
sibien,si bien,
epargnez,épargnez,
certe,certes,
scait,sait,
séverité,sévérité,
voïe,voie,
déposerois,déposerais,
inflüer,influer,
dissimulâtion,dissimulation,
conquerans,conquérants,
écriat,écria-t,
profiterois,profiterais,
aggresseur,agresseur,
dérobois,dérobais,
contentois,contentais,
méprisans,méprisants,
ecritures,écritures,
écrivîsse,écrivisse,
sollicitâtions,sollicitations,
roûgis,rougis,
crüauté,cruauté,
renouveloient,renouvelaient,
élévera,élèvera,
justiffier,justifier,
scênes,scènes,
ménageois,ménageais,
éxactement,exactement,
honête,honnête,
féte,fête,
fîssiez,fissiez,
flottois,flottais,
coûtois,coûtais,
ôser,oser,
gâgné,gagné,
moïens,moyens,
allarma,alarma,
nautonnier,nautonier,
grouppes,groupes,
gémissans,gémissants,
échapée,échappée,
georgienne,géorgienne,
flattâsse,flattasse,
refrogné,renfrogné,
échoüer,échouer,
independans,indépendants,
éxigeoit,exigeait,
prétendrois,prétendrais,
esclâve,esclave,
réverie,rêverie,
forçois,forçais,
plaçois,plaçais,
recevroient,recevraient,
voyageois,voyageais,
obligâtions,obligations,
négociâtion,négociation,
profiteroit,profiterait,
geoliers,geôliers,
accepterois,accepterais,
cazerne,caserne,
sequelle,séquelle,
ensévelis,ensevelis,
remplirois,remplirais,
agaçans,agaçants,
fuye,fuie,
thiare,tiare,
balançois,balançais,
réüssite,réussite,
éxigez,exigez,
retrouvoient,retrouvaient,
exciteroit,exciterait,
succédés,succédé,
abbatre,abattre,
rârement,rarement,
fûssé,fussé,
désesperoit,désespérait,
mîsse,mette,
intéressois,intéressais,
évenements,évènements,
mouvans,mouvants,
desirerait,désirerait,
brachmanes,brahmanes,
agitâtion,agitation,
apperçusse,aperçusse,
