,Text in Marmontel_Incas,Text in B,Location in Marmontel_Incas,Location in B
Lesuire_Crime_0," Le ciel réunit dans mes bras CE QUE J'AI DE PLUS CHER AU MONDE. Ah! S'il est possible, aidez","s, des auteurs de mes jours, dE CE QUE J'AI DE PLUS CHER AU MONde; mais par qui, bon Dieu! vo","(277956, 277989)","(356620, 356653)"
Loaisel_Comtesse_0,"et éclair rapide et terrible, QUI EMBRASE À LA FOIS DEUX CŒURS FAITS L'UN POUR L'AUTRE, avoitfrappé le jeune espagno","nées; et cette flamme rapide, QUI EMBRASE À LA FOIS DEUX CŒURS FAITS L'UN POUR L'AUTRE, les avait frappés au même in","(295598, 295654)","(8774, 8830)"
Loaisel_Comtesse_1,"egard de la prêtresse a versé AU FOND DE SON CŒUR LE DOUX POISON DE L'ESPÉRANCE. Des vœux indissolubles, un é","nd à lui-même, et fait couler AU FOND DE SON CŒUR LE DOUX POISON DE L'ESPÉRANCE. Il attend d'un autre instant","(296267, 296316)","(8774, 8830)"
Loaisel_Comtesse_2,ature et l'amour l'emportent; LES SAINTS NOMS DE PÈRE ET DE MÈRE ne sont plus un crime pour no,re enveloppe ton berceau! que LES “SAINTS NOMS DE PÈRE ET DE MÈRE saient un “crime pour ceux qu,"(427078, 427112)","(8774, 8830)"
Loaisel_Lucile_0,"et éclair rapide et terrible, QUI EMBRASE À LA FOIS DEUX CŒURS FAITS L'UN POUR L'AUTRE, avoitfrappé le jeune espagno","années; et cette flamme rapide, QUI EMBRASSE À LA FOIS DEUX 
CŒURS FAITS L'UN POUR L'AUTre, les avait frappés, en même","(295598, 295654)","(7760, 7818)"
Loaisel_Lucile_1,"e d'une bouche expirante, car LES CRAINTES, LES ESPÉRANCES, ET TOUS LES INTÉRÊTS HUMAINS S'ÉVANOUISSENT DEVANT celui qui ne va plus laisser ","encore à elle à “cette heure oÙ LES CRAINTES, LES ESPÉRANCES ET TOUS LES INTÉRÊTS HUMAINS “S'ÉVANOUISSENT DEVAnt nous, et que “mes deux dern","(458064, 458144)","(7760, 7818)"
Louvet_Annee_0,"TRE 7 la réponse de Montezume NE SE FIT PAS LONGTEMPS ATTENDRE. IL crut, par de nouveaux présent","ntes. Le vicomte de Florville NE SE FIT PAS LONGTEMPS ATTENDRE; IL montait un très joli cheval, ","(68546, 68582)","(420435, 420471)"
Louvet_Fin_0," Le ciel réunit dans mes bras CE QUE J'AI DE PLUS CHER AU MONDE. Ah! S'il est possible, aidez","urs où je laisse au désespoir CE QUE J'AI DE PLUS CHER AU MONDE! Mon cœur alors se serre, je ","(277956, 277989)","(167609, 167642)"
Marmontel_Belisaire_0,"son peuple, le visage abattu, LES YEUX BAISSÉS ET PLEINS DE LARMES, l'accompagnerent en silence ","cun, dès qu'on m'a vu sortir, LES YEUX BAISSÉS ET PLEINS DE LARMES, aucun n'a daigné m'aborder. ","(165322, 165358)","(42633, 42669)"
Marmontel_Contes_0,iles d'un vaisseau. Il pousse UN CRI DE SURPRISE ET DE JOIE; et tous les yeux se tournent,"courus vite l'embrasser, avec UN CRI DE SURPRISE ET DE JOIE. Eh bien! Petite folle, me di","(202954, 202983)","(191866, 191895)"
Marmontel_Contes_1,"eurs d'une solitude profonde, TOUT CE QUE LA NATURE A DE PLUS effrayant s'oppose à son pass","it un qui l'avait méritée par TOUT CE QUE LA NATURE A DE PLUS sensible, et la vertu de plus","(468226, 468257)","(191866, 191895)"
Merard_Bergeries_0," Le ciel réunit dans mes bras CE QUE J'AI DE PLUS CHER AU monde. Ah! S'il est possible,","érir! 
Silvie. 
J'en jure par CE QUE J'AI DE PLUS CHER, PAR mon amour. 
colin. 
Je puis d","(277956, 277983)","(45302, 45331)"
Morelly_Naufrage_0,"éritait mieux que lui? "" il n'EN PUT DIRE DAVANTAGE: LES SANGLOTS LUI ÉTOUFFAIENT LA voix. Il fut quelques instant","il me croit coupable. 
Elle n'EN PUT DIRE DAVANTAGE; LES SANGLOTS LUI COUPENT LA voix. Sa mère mêle ses larmes","(406296, 406350)","(156827, 156877)"
Puget_Periphas_0,"é Montezume. Il chancelle, et TOMBE EXPIRANT DANS LES BRAS DE SES ennemis. En le voyant tomber,","enfonce dans son sein, etamp; TOMBE EXPIRANTE DANS LES BRAS DE SES femmes qui cherchèrent envain","(94498, 94533)","(127795, 127831)"
Rousseau_Julie_0,"s. Il se rappelle avec effroi LES PLUS DOUX MOMENTS DE SA VIE, ET déteste l'amour qui l'a rendu","ue ses derniers jours étaient LES PLUS DOUX MOMENT DE SA VIE, ET que le bonheur de sa fille ét","(312730, 312765)","(625007, 625041)"
Rousseau_Julie_1,"le en consacre les nœuds.-ah! LE CIEL ET LA TERRE ME SONT TÉMOINS, s'écrie Alonzo, que je suis ","ée à la réponse de ma bouche: LE CIEL, ET LA TERRE SONT TÉMOINS de l’engagement sacré que je ","(428679, 428714)","(625007, 625041)"
Sade_120_0,et laisseriez-vous égorger un FILS DANS LES BRAS DE SA MÈRE? La vie est pour moi peu de c,t là pour dépuceler la petite FILLE DANS LES BRAS DE SA MÈRE et tout fut arrangé avec tant,"(223856, 223885)","(39471, 39501)"
Sade_Aline_0," Le ciel réunit dans mes bras CE QUE J'AI DE PLUS CHER AU MONDE. Ah! S'il est possible, aidez","nneurs, achetés aux dépens de CE QUE J’AI DE PLUS CHER AU MONDE? Dussai je être le plus malhe","(277956, 277989)","(1093727, 1093760)"
Sade_Infortunes_0,"e, savez-vous qui je suis, et TOUT CE QUE JE PUIS POUR VOUS? Je n'ai point d'armes, mais ","servir de victime... 
--Voilà TOUT CE QUE JE PUIS POUR VOUS, mon enfant, continua ce vila","(500563, 500592)","(29295, 29324)"
Sade_Justine_0,"e, savez-vous qui je suis, et TOUT CE QUE JE PUIS POUR VOUS? Je n'ai point d'armes, mais ","nt et ouvrant la porte, voilà TOUT CE QUE JE PUIS POUR VOUS ; consentez-y, ou délivrez-mo","(500563, 500592)","(33102, 33131)"
Segur_Correspondance_0,"entrer ce religieuxvénérable, NE DOUTA POINT QUE CE NE FÛT encore un nouveau martyr de l","ée et interdite; il l'arrêta, NE DOUTANT POINT QUE CE NE FÛT quelqu'aventurier déguisé, et","(152534, 152562)","(425367, 425397)"
Tiphaigne_Galligenes_0,a frayeur a troublé mes sens. JE NE SAIS OÙ JE SUIS; JE ne sais même qui vous êtes. Q," le temps „le veut. Pour moi, JE NE SAIS OÙ JE „SUIS, JE n'entends rien à ce que vous ","(303963, 303988)","(2868, 2894)"
Voltaire_Princesse_0," et en silence devant l'inca, IL LUI PARLE EN CES MOTS: "" DIGNE fils du dieu que je sers, si ","lui avoir donné deux baisers, IL LUI PARLA EN CES MOTS : « MA CHÈRE fille, vous n'avez pu trouver","(53375, 53408)","(41104, 41141)"
