,Text in Tiphaigne_Galligenes,Text in B,Location in Tiphaigne_Galligenes,Location in B
Lagrave_Sophie_0, ne puis-je „t'expliquer tout CE QUI SE PASSE DANS „MON CŒUR; mais je ne le conçois pas „m,"r. 
Je ne puis te dire, mon amIE, CE QUI SE PASSE DANS MON cœur à cette idée; il semble q","(52539, 52569)","(55158, 55187)"
Lagrave_Zabeth_0,. Que ne puis-je „t'expliquer TOUT CE QUI SE PASSE DANS „MON CŒUR; mais je ne le conçois pas „m,tourne..... Je ne puis rendre TOUT CE QUI SE PASSE DANS MON CŒUR! cœur! Pauvre Zabeth!... La t,"(52534, 52569)","(349751, 349785)"
LaPlace_Collection_0," servira de titre à la vérité DE TOUT CE QUE JE VIENS DE narrer comme j'ai pu. 
J'ai o"," que César nous fit le détail DE TOUT CE QUE JE VIENS DE raconter, et qu'il nous suppl","(232064, 232090)","(157188, 157214)"
Lesuire_Aventurier_0,"s, Monsieur le Censeur, y a-t-IL LONG-TEMPS QUE VOUS N'AVEZ VU celui qui, l'autre jour, comm","vous deman“der, lui dis-je, s'IL Y A LONG-TEMPS QUE “VOUS AVEZ VU la France?--Oh, me répon“diti","(19354, 19386)","(560823, 560858)"
Lesuire_Crime_0,Duncan prenait plus de part à CE QUI SE PASSAIT AUTOUR DE LUI. Il regardait successivement ,ssant faire peu d'attention à CE QUI SE PASSAIT AUTOUR DE LUI. Je lui ai adressé la parole ,"(1985, 2016)","(44444, 44475)"
Marmontel_Contes_0,"aient de voir, dans ses yeux, CE QUI SE PASSAIT DANS SON CŒUR. Almont, comme un homme qui a","le, et de lire sur son visage CE QUI SE PASSAIT DANS SON CŒUR. La fortune favorisa Belzors.","(69080, 69111)","(394704, 394735)"
Marmontel_Incas_0," le temps „le veut. Pour moi, JE NE SAIS OÙ JE „SUIS, JE n'entends rien à ce que vous ",a frayeur a troublé mes sens. JE NE SAIS OÙ JE SUIS; JE ne sais même qui vous êtes. Q,"(2868, 2894)","(303963, 303988)"
Mercier_An_0,probre dans leur propre sein. CE N'EST DONC PAS SANS RAISON QUE vous voyez avec horreur ces m,it sûrement un homme à part ; CE N'EST DONC PAS SANS RAISON QUE nous avons oublié les noms de,"(124818, 124851)","(217237, 217270)"
Morelly_Naufrage_0,l est en nous pour „avoir des HOMMES. IL EST VRAI QUE „NOUS NE réussissons guère. Il n'y a p,"cune action, qui ne lui rende HOMMAGE? 
IL EST VRAI QUE NOUS NE pouvons connaître, ni désigne","(89753, 89785)","(51405, 51438)"
Morelly_Naufrage_1,elque abondant qu'ils saient. IL N'EN EST PAS DE MÊME DES CLIMATS qui inclinent au froid. Ils d,rdons pas à la perdre de vue. IL N'EN EST PAS DE MÊME DES CŒURS que la Nature a faits pour go,"(162818, 162853)","(51405, 51438)"
Popeliniere_Daira_0,. Que ne puis-je „t'expliquer TOUT CE QUI SE PASSE DANS „MON cœur; mais je ne le conçois p, etamp; où je me rappelle que TOUT CE QUI SE PASSA DANS MON âme pendant même un nombre de,"(52534, 52564)","(83638, 83667)"
Puget_Periphas_0,"ui s'élevaient de tous côtés, SE PRÉCIPITAIENT LES UNES SUR LES AUTRES, etamp; se brisaient avec un ",s furent saisis d'effroi: ils SE PRÉCIPITAIENT LES UNS SUR LES AUTRES; ils s'élançaient tumultueuse,"(30125, 30165)","(80777, 80816)"
Riccoboni_Histoire_0,"nnut pas d'abord tout le prix DE LA DÉCOUVERTE QU'IL VENAIT DE FAIRE. Peu de temps après, le Verse","maîtresse. Le marquis, charmé DE LA DÉCOUVERTE QU'IL VENAIT DE FAIRE, était bien éloigné de songer","(46607, 46645)","(57812, 57850)"
Riccoboni_LettresFanni_0,. Que ne puis-je „t'expliquer TOUT CE QUI SE PASSE DANS „MON CŒUR; mais je ne le conçois pas „m,"i un vilain visage qui décèle TOUT CE QUI SE PASSE DANS MON CŒUR; ma joie me trahiroit, on la ","(52534, 52569)","(113916, 113950)"
Rosny_Firmin_0, ne puis-je „t'expliquer tout CE QUI SE PASSE DANS „MON CŒUR; MAIS je ne le conçois pas „moi-mêm,ut avoir aimé pour se figurer CE QUI SE PASSA DANS MON CŒUR LORSQUE je reçus les témoignages de r,"(52539, 52575)","(58607, 58644)"
Rousseau_Emile_0,"oujours été ce qu'ils sont“. 
JE NE SUIS POINT DU TOUT DE l'avis de Duncan, etamp; je c",mp; fournissent plus de lait. JE NE SUIS POINT DU TOUT DE ce sentiment; etamp; j'ai pou,"(78246, 78273)","(64691, 64718)"
Rousseau_Emile_1,elque abondant qu'ils saient. IL N'EN EST PAS DE MÊME DES CLIMATS qui inclinent au froid. Ils d,"s, les rivières sont chaudes; IL N'EN EST PAS DE MÊME DES SOURCES, qui n'ont pas reçu le contac","(162818, 162853)","(64691, 64718)"
Rousseau_Julie_0,"es fixer sur un „autre objet, JE NE BALANCEROIS PAS UN „INSTANT; MAIS ne pouvant leur donner „un au","n même, non, charmante Julie, JE NE BALANCEROIS PAS UN INSTANT. MAIS d’où viendrait cette amère al","(50641, 50680)","(44011, 44049)"
Senac_Emigre_0, ne puis-je „t'expliquer tout CE QUI SE PASSE DANS „MON CŒUR; mais je ne le conçois pas „m,car un volume ne contiendrait PAS CE QUI SE PASSE DANS MON cœur et dans mon esprit. Le pl,"(52539, 52569)","(694611, 694640)"
Souza_Adele_0,"r. Ces odeurs n'ont de force, QUE CE QU'IL EN FAUT POUR ÊTRE senties, etamp; varient comme",", mais ne montrait de volonté QUE CE QU'IL EN FAUT POUR ÊTRE plus aimable en se soumettant","(59699, 59729)","(49623, 49653)"
